                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3055,                 2.3051,                 1.1343,                0.39679,                0.86957,                0.72021,                0.35595,                 1.4979,                   2.48,                0.99833,             0.00065537,             0.00065537,             0.00065537
                      2,                 1.1245,                 1.3127,                  1.019,                0.87001,                0.73913,                0.87201,                  0.483,                 1.5278,                 1.7839,                 1.0337,              0.0012893,              0.0012893,              0.0012893
                      3,                 1.0662,                 1.2773,                 1.0239,                0.89393,                0.82609,                0.93374,                0.50818,                 1.6106,                 1.7566,                  1.116,              0.0018903,              0.0018903,              0.0018903
                      4,                 1.0487,                  1.126,                 1.0064,                 0.9128,                0.91033,                0.95368,                0.64628,                 1.2618,                 1.2557,                 1.0388,              0.0018515,              0.0018515,              0.0018515
                      5,                0.96225,                0.95965,                0.99915,                0.91842,                0.97936,                0.98615,                0.57566,                 1.4003,                 1.3131,                 1.0406,              0.0018515,              0.0018515,              0.0018515
                      6,                0.96265,                0.91756,                 1.0093,                      1,                0.90491,                0.98192,                0.54069,                 1.5275,                  1.227,                 1.0485,               0.001802,               0.001802,               0.001802
                      7,                0.99602,                0.89238,                0.99081,                0.95062,                0.91304,                 0.9776,                0.59506,                 1.3687,                 1.0888,                 1.0242,              0.0017525,              0.0017525,              0.0017525
                      8,                0.93889,                0.86294,                0.98988,                      1,                0.99501,                  0.995,                0.57003,                 1.5385,                 1.1359,                 1.0657,               0.001703,               0.001703,               0.001703
                      9,                0.96797,                0.87891,                0.98454,                0.95783,                0.98798,                0.98625,                0.56586,                 1.3821,                 1.2865,                0.98753,              0.0016535,              0.0016535,              0.0016535
                     10,                0.89253,                 0.7914,                0.97412,                0.94899,                      1,                0.98625,                0.59289,                 1.3507,                  1.119,                 1.0127,               0.001604,               0.001604,               0.001604
                     11,                0.84034,                 0.7624,                0.93657,                      1,                0.95327,                0.99333,                0.60732,                 1.4598,                 1.0651,                 1.0336,              0.0015545,              0.0015545,              0.0015545
                     12,                0.91155,                   0.82,                0.96034,                0.95833,                0.99989,                0.99333,                0.59075,                 1.5653,                 1.0702,                 1.0446,               0.001505,               0.001505,               0.001505
                     13,                0.86097,                0.74739,                 0.9502,                      1,                0.95344,                0.99333,                0.60348,                 1.4413,                 1.0728,                 1.0161,              0.0014555,              0.0014555,              0.0014555
                     14,                0.85662,                0.73147,                0.92918,                0.99597,                0.95652,                0.98907,                 0.6845,                 1.1433,                0.95356,                0.94816,               0.001406,               0.001406,               0.001406
                     15,                0.84656,                0.73571,                0.92631,                      1,                 0.9481,                0.98567,                0.66702,                 1.1805,                0.91317,                0.91968,              0.0013565,              0.0013565,              0.0013565
                     16,                0.80323,                0.68834,                0.91762,                0.99489,                0.95652,                0.98786,                0.67863,                 1.2482,                0.91046,                0.96024,               0.001307,               0.001307,               0.001307
                     17,                0.78889,                0.65985,                0.92498,                0.95747,                0.97916,                0.98083,                0.74149,                 1.0728,                 0.8014,                0.91773,              0.0012575,              0.0012575,              0.0012575
                     18,                0.78948,                0.65173,                0.92751,                0.95416,                0.90529,                0.95804,                0.58957,                 1.3169,                0.92352,                0.95894,               0.001208,               0.001208,               0.001208
