                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                0.82543,                0.65983,                0.91714,                0.99555,                0.91304,                0.97506,                0.64508,                 1.1468,                 0.9018,                0.90412,              0.0011585,              0.0011585,              0.0011585
                     20,                0.75558,                0.60797,                0.92013,                0.99847,                0.95652,                0.98468,                0.63285,                 1.3654,                0.96561,                0.96332,               0.001109,               0.001109,               0.001109
                     21,                0.71301,                0.55921,                0.91361,                0.99598,                0.95652,                0.98375,                0.75627,                  1.063,                0.81678,                0.89681,              0.0010595,              0.0010595,              0.0010595
                     22,                0.76815,                0.59069,                0.90466,                0.95637,                0.95318,                0.98789,                0.60087,                 1.4967,                0.81636,                0.99815,                0.00101,                0.00101,                0.00101
                     23,                 0.6867,                0.56632,                0.90761,                0.99578,                0.95652,                 0.9918,                0.65575,                 1.2998,                 0.7661,                0.95356,              0.0009605,              0.0009605,              0.0009605
                     24,                 0.7269,                0.57567,                0.90408,                      1,                0.99519,                  0.995,                0.64065,                  1.302,                0.75732,                0.95042,               0.000911,               0.000911,               0.000911
                     25,                0.69185,                0.54175,                0.90121,                0.99605,                0.95652,                0.99333,                 0.6559,                 1.2554,                0.74555,                 0.9248,              0.0008615,              0.0008615,              0.0008615
                     26,                0.68709,                 0.5259,                0.89556,                0.99398,                0.95652,                0.99333,                0.67587,                 1.2398,                0.76931,                0.91495,               0.000812,               0.000812,               0.000812
                     27,                0.68182,                0.52656,                0.89074,                0.99575,                0.95652,                0.99333,                0.63438,                 1.4199,                0.83009,                0.96098,              0.0007625,              0.0007625,              0.0007625
                     28,                0.65277,                0.50712,                0.88865,                      1,                0.99505,                  0.995,                0.62238,                 1.3728,                0.76573,                0.96658,               0.000713,               0.000713,               0.000713
                     29,                0.65378,                0.48928,                0.87545,                      1,                0.99677,                  0.995,                0.61552,                 1.3152,                0.74468,                0.94815,              0.0006635,              0.0006635,              0.0006635
                     30,                0.69383,                0.51031,                0.89434,                      1,                0.99708,                  0.995,                0.63118,                 1.3545,                0.69412,                0.95031,               0.000614,               0.000614,               0.000614
                     31,                0.74533,                0.59692,                0.88876,                0.99257,                0.95652,                 0.9918,                0.67498,                 1.1709,                0.69146,                0.91752,              0.0005645,              0.0005645,              0.0005645
                     32,                0.75899,                0.58582,                0.88382,                0.99531,                0.95652,                0.99038,                0.66303,                 1.1923,                 0.7375,                0.91629,               0.000515,               0.000515,               0.000515
                     33,                0.74982,                0.55561,                 0.8843,                0.99401,                0.95652,                 0.9918,                0.66725,                 1.2284,                0.66632,                0.93035,              0.0004655,              0.0004655,              0.0004655
                     34,                0.76673,                 0.5679,                0.89206,                0.95814,                0.99532,                0.99333,                0.70643,                 1.1129,                0.62726,                 0.8953,               0.000416,               0.000416,               0.000416
                     35,                0.70846,                0.51889,                0.87898,                0.95821,                0.99703,                0.99333,                0.67728,                 1.1183,                0.62403,                 0.8914,              0.0003665,              0.0003665,              0.0003665
                     36,                0.72307,                0.51751,                0.88445,                0.95813,                0.99514,                0.99333,                0.68123,                 1.1459,                0.63379,                0.90043,               0.000317,               0.000317,               0.000317
                     37,                0.68559,                0.49817,                0.86736,                0.95783,                0.98798,                0.99333,                 0.6506,                 1.2392,                0.64426,                  0.915,              0.0002675,              0.0002675,              0.0002675
                     38,                0.65326,                0.48824,                0.88401,                 0.9581,                0.99439,                0.99333,                0.67494,                 1.2122,                0.63758,                0.89612,               0.000218,               0.000218,               0.000218
                     39,                0.66839,                0.49622,                0.87397,                0.99328,                0.95652,                0.99333,                0.66775,                 1.1812,                0.61875,                0.89654,              0.0001685,              0.0001685,              0.0001685
                     40,                0.64652,                0.48179,                0.85744,                0.99433,                0.95652,                0.99333,                0.68029,                 1.1746,                0.61081,                0.89871,               0.000119,               0.000119,               0.000119
